Maximum Payoff: 31208866
48 542 82557
586 611 27079
1067 1320 58681
1527 1800 89770
1878 2031 65440
2064 2268 48032
2370 3342 72355
3367 3723 76199
3752 4224 58751
4393 4508 27558
4574 4656 57022
4705 4923 92581
5244 5875 94768
5920 6330 52523
6336 6779 68868
7156 7522 76690
7661 8099 83829
8262 8292 58734
8382 8455 81414
8569 8904 67994
9161 9582 88829
9971 9982 56492
10198 10287 84664
10346 10929 77945
11011 11244 84564
11770 12024 96487
12354 12424 62150
12977 13044 91126
13084 13398 75525
13429 13591 80898
13622 13957 70388
14197 14423 82503
14593 14769 75195
14828 15047 99489
15516 15614 25133
15634 15870 57192
16055 16375 97022
16760 16764 51074
16990 17196 6975
17336 17901 59335
18019 18222 47065
18263 18495 63026
18523 18643 58455
18743 18808 29271
18933 19033 87935
19138 19186 95367
19830 19982 43737
20002 20317 75597
20459 20499 82511
20622 21298 99673
21300 21555 56687
21578 21627 44739
21755 21841 26235
22325 22403 94043
22651 23008 93380
23224 23655 82664
23809 24167 69340
24279 24590 85244
24991 25054 67508
25057 25492 90836
25540 26040 86458
26194 26248 12132
26387 26452 91929
26628 26801 42927
26886 26911 91648
27142 27398 43916
27662 28031 36178
28043 28143 59571
28154 28488 28890
28523 28922 77753
28964 29389 84115
29501 29742 91935
29842 30308 79745
30403 30472 71724
30499 30518 51248
30600 30612 79191
30708 30925 57406
31098 31490 80873
31658 32029 95281
32293 32340 42407
32493 32700 92475
33429 33553 27300
33568 33749 93397
33795 34049 99197
34332 34644 66467
34894 35031 5332
35085 35187 60587
35240 35399 94113
35466 35478 12073
35619 35667 42234
35826 36402 84727
36560 36681 5799
36721 36868 98705
36905 37636 99358
37774 37869 37112
38245 38382 86302
38440 38551 92115
38863 38937 64949
38944 39097 70708
39355 40153 85765
40161 40305 80630
40464 40581 95732
40595 41217 96451
41247 41366 48346
41464 41898 75574
41935 42094 49638
42195 42242 93509
42458 42541 43155
42733 43183 75866
43221 43260 93839
43390 43495 4290
43517 43657 91959
43811 43847 92450
44111 44319 91617
44491 44692 72582
44743 44852 79503
44908 45015 93216
45091 45207 90624
45261 45745 90847
46188 46269 49803
